hash,content,template,keywords
25911361f5fc36514ba5e877b1529639eb52551f764a29460d23dae4b6b66abf,fekaputr : TTY=pts/<*> ; PWD=/home/fekaputr ; USER=root ; COMMAND=/usr/bin/apt-get purge linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic,sepses:LogLine_016faa83,purge linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra
f8ae6a9c17b2011bd32f6952c59852f727e783f94c754dbb4feb0d7e0d950a86,fekaputr : (command continued) linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic,sepses:LogLine_370ced88,command continue|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra
3a14a81ba48a4dc93dff826c058032c6f6629ef5bcd49405146d44cad8e95113,fekaputr : TTY=pts/<*> ; <*> ; USER=root ; <*> <*> <*>,sepses:LogLine_87649ba7,
58fe88bbda9492cdf1c7abc20476322de339afa416b7c18e7735dc6a10d918f0,fekaputr : (command continued) linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic,sepses:LogLine_a65460a2,command continue|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra
997acbbb681dc025ef531b82484caea69503fa2cf173087078d5561bfe932720,fekaputr : TTY=pts/<*> ; PWD=/home/fekaputr ; USER=root ; COMMAND=/usr/bin/apt purge apache2.<*>-common apt-xapian-index aptitude aspell-en bsh-gcj dictionaries-common emacsen-common gksu icedtea-netx-common indicator-application libboost-filesystem1.<*>.<*> libboost-iostreams1.<*>.<*> libboost-program-options1.<*>.<*> libboost-system1.<*>.<*> libboost-thread1.<*>.<*> libcdparanoia0:amd64 libcommons-validator-java libcwidget3 libept1.<*>.<*>:amd64 libgcj12 libgcj16:amd64 libgd2-xpm:amd64 libgeoclue0:amd64 libgif4:amd64 libgksu2-<*> libgnome-keyring0:amd64 libicu48 libidl0:amd64 libiec61883-<*>:amd64 libmysqlclient18:amd64 libnotify4:amd64 libpcrecpp0:amd64 libpython3.<*>-minimal:amd64 libsamplerate0:amd64 libshout3:amd64 libsigc++<*>.<*>-0c2a:amd64 libsnappy1 libspeex1:amd64 libstartup-notification0:amd64 libt1-<*> libtag1v5-vanilla:amd64 libtiff4:amd64 libxapian22 libxcb-util1:amd64 linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic,sepses:LogLine_e9f4370c,purge apache2|common apt-xapian-index aptitude aspell-en bsh-gcj dictionaries-common emacsen-common gksu icedtea-netx-common indicator-application libboost-filesystem1|amd64 libcommons-validator-java libcwidget3 libept1|amd64 libgcj12 libgcj16|amd64 libgd2-xpm|amd64 libgeoclue0|amd64 libgif4|amd64 libgksu2|amd64 libiec61883|amd64 libmysqlclient18|amd64 libnotify4|amd64 libpcrecpp0|amd64 libpython3|amd64 libsamplerate0|amd64 libshout3|amd64 libsigc|amd64 libsnappy1 libspeex1|amd64 libstartup-notification0|amd64 libt1|amd64 libtiff4|amd64 libxapian22 libxcb-util1|amd64 linux-image|generic linux-image|generic linux-image
2276b127d0f2bc0153346245174a03de69c4b8dcfed38fc8282caf05cb85442f,fekaputr : (command continued) linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic,sepses:LogLine_9f2e08c1,command continue|generic linux-image|generic linux-image|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra
f56be76bd25c2369f6460ccc0c13c1b221e4bf25fb17943bf5d695783a622cc2,fekaputr : (command continued) linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-image-extra-<*>.<*>.<*>-<*>-generic linux-modules-<*>.<*>.<*>-<*>-generic linux-modules-<*>.<*>.<*>-<*>-generic linux-modules-<*>.<*>.<*>-<*>-generic linux-modules-<*>.<*>.<*>-<*>-generic linux-modules-<*>.<*>.<*>-<*>-generic linux-modules-<*>.<*>.<*>-<*>-generic linux-modules-<*>.<*>.<*>-<*>-generic linux-modules-<*>.<*>.<*>-<*>-generic linux-modules-<*>.<*>.<*>-<*>-generic linux-modules-<*>.<*>.<*>-<*>-generic linux-modules-<*>.<*>.<*>-<*>-generic linux-modules-<*>.<*>.<*>-<*>-generic linux-modules-<*>.<*>.<*>-<*>-generic linux-modules-<*>.<*>.<*>-<*>-generic linux-modules-extra-<*>.<*>.<*>-<*>-generic linux-modules-extra-<*>.<*>.<*>-<*>-generic linux-modules-extra-<*>.<*>.<*>-<*>-generic linux-modules-extra-<*>.<*>.<*>-<*>-generic linux-modules-extra-<*>.<*>.<*>-<*>-generic linux-modules-extra-<*>.<*>.<*>-<*>-generic linux-modules-extra-<*>.<*>.<*>-<*>-generic linux-modules-extra-<*>.<*>.<*>-<*>-generic,sepses:LogLine_445915cc,command continue|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-image-extra|generic linux-module|generic linux-module|generic linux-module|generic linux-module|generic linux-module|generic linux-module|generic linux-module|generic linux-module|generic linux-module|generic linux-module|generic linux-module|generic linux-module|generic linux-module|generic linux-module|generic linux-modules-extra|generic linux-modules-extra|generic linux-modules-extra|generic linux-modules-extra|generic linux-modules-extra|generic linux-modules-extra|generic linux-modules-extra|generic linux-modules-extra
4c01cba186258b2348276e0d0e36f2a0fa2ed261adca78f685be7aaf68f19252,fekaputr : (command continued) linux-modules-extra-<*>.<*>.<*>-<*>-generic linux-modules-extra-<*>.<*>.<*>-<*>-generic linux-modules-extra-<*>.<*>.<*>-<*>-generic linux-modules-extra-<*>.<*>.<*>-<*>-generic linux-modules-extra-<*>.<*>.<*>-<*>-generic linux-modules-extra-<*>.<*>.<*>-<*>-generic mysql-server-<*>.<*> notification-daemon openjdk-<*>-jre-headless:amd64 openjdk-<*>-jre-headless:amd64 oracle-java7-set-default perl-modules python3.<*> python3.<*>-minimal systemd-services velocity wordpress xterm y-ppa-manager,sepses:LogLine_22a4ced2,command continue|generic linux-modules-extra|generic linux-modules-extra|generic linux-modules-extra|generic linux-modules-extra|generic linux-modules-extra|generic mysql-server|notification-daemon openjdk|amd64 openjdk|amd64 oracle-java7-set-default perl-module python3|minimal systemd-service velocity wordpress xterm y-ppa-manager
a3afab63207ee35d6a18894f3c86ab8f0e99543e9cb64520ab9a2800b1700ac3,Received signal <*>; terminating.,sepses:LogLine_903531a0,receive signal
6c1d93b3ac23eeb9ce3ebe98ffd5e94d2543ecc840c728c1e26125fc7869401b,pam_unix(systemd-user:session): session closed for user fekaputr,sepses:LogLine,session close|user fekaputr
a56a0a50647b54e132320011b63fba21e298056bcd849a7f6ab60dd3451ea32e,pam_systemd(sshd:session): Failed to release session: Interrupted system call,sepses:LogLine,release session|interrupt system call
91d0e775ee1d528c0b5264ef97f1113750e915ec4cbe0333bbc90a0338948a22,Removed session <*>.,sepses:LogLine_168e7166,remove session
a31d4c69a4d72fca42f15e363dfc0b40b1d79aed67f12242d77f3163af8b61d1,PAM unable to <*> <*> cannot open shared object file: No such file or directory,sepses:LogLine_210f0e15,pam unable|open shared object file|such file
9829250e216b3783e3366fdca9d4f25c8074770a8438c0166cd1a119312056cc,PAM adding faulty module: <*>,sepses:LogLine_9841f12c,pam add faulty module
2db263523f5b3016a77ebb4841448a267e08818c75d816b4c4a2b4caa7fe5e9a,delete user 'systemd-bus-proxy',sepses:LogLine,delete user
22f481bb78792a831452d634bcd6a8025f5c820019fdfd869cfc7c8704a6dc85,removed group 'systemd-bus-proxy' owned by 'systemd-bus-proxy',sepses:LogLine,remove group
3f9baeee237a85519c113bf31a75b63f43777aebaf3e17d32d67cc1c2b6e23a5,removed shadow group 'systemd-bus-proxy' owned by 'systemd-bus-proxy',sepses:LogLine,remove shadow group
b31708b529fdd8656e511753168932bc5cbda7ccac9f122167abe1a6a82806c1,Successful su for postgres by root,sepses:LogLine,successful su
86e1a44a67ac715c433421c0c0c996fbf05a9236ba66df25e132da4837c8ef5e,+ ??? root:postgres,sepses:LogLine,
72499d4341efe1227693f8b8357abab13fb75cb631b1c1ca96cdab159cb73503,pam_unix(su:session): session opened for user postgres by (uid=<*>),sepses:LogLine_77428942,session open|user postgre
e2bb72d3ac76cb027244bcc2871c57f49afbc770c9711abb84a898e3c4142242,pam_systemd(su:session): Cannot create session: Already running in a session,sepses:LogLine,create session
bbeb0c54580677e0f457f8489d34fb9d4a4aa66041e789e1f21d767a99037cc0,pam_unix(su:session): session closed for user postgres,sepses:LogLine,session close|user postgre
5b6098768b925defb4b78de1a681edb6eb1244e2058e77945ca0a3c06810c4a7,user 'root' (login 'fekaputr' on pts/<*>) <*> to group <*>,sepses:LogLine_26b1a3de,
b055529af09ce34b0337f8c02ed7fd7be60b9aeaa2c7d349c2c8ab543e63587f,group added to /etc/group: <*> GID=<*>,sepses:LogLine_b72edb09,group add
cd63b53c3cbf4d5b0b051cb75d9930e5052cc0c60f26b01890d323fd01801c38,group added to /etc/gshadow: <*>,sepses:LogLine_7b1cd48d,group add
cec663ec746362cfd77e1b10e22f50fbc44359467a3d3bfaf2aa6c40a4b5b189,new group: <*> GID=<*>,sepses:LogLine_724c882e,new group
9400e65b8fd2d44e1ac24fca05001d0e8bfd129f87b4a22c7fdd2d13a67dc1e4,"new user: <*> UID=<*>, GID=<*>, <*> <*>",sepses:LogLine_74f6c0c1,new user
24cd90049f2c284804f0751a44af5c1882d55da6655b7da7dcd6f74126b33e9d,change user <*> password,sepses:LogLine_c1056d3a,change user
56e2a7aa6897ddbf3c81fb40991bde3fb3c6940662d04c715acd02177140ea48,changed password expiry for <*>,sepses:LogLine_82466679,change password expiry
a5fb9927a5a4626d08eb52239b05838f231df92bc2a9dc1e663595cfd32c5f37,user saned added by root to group scanner,sepses:LogLine,user san add|group scanner
e6a0108e305cde9919ec984cea6946490aa730eb21cc7c91bfa5ab8d5d0652ee,Watching system buttons on /dev/input/event1 (AT Translated Set <*> keyboard),sepses:LogLine_4f3050d4,watch system button|translate set
0bac3c0b5ccf35d82e829425496a2d55bca705b4fa798ba7c23294069f03cfa6,rexec line <*>: Deprecated option <*>,sepses:LogLine_24e5bf62,rexec line|deprecate option
908f57c4cbd28f6d53464f25c9c6fe25543570a1ed28fe8804c3648b2672555a,reprocess config line <*>: Deprecated option <*>,sepses:LogLine_5ff0ad5e,reprocess config line|deprecate option
9f37ea8329fabb65b80d0696500c43072372df9a0e1b114ad9b9e68348cbd216,Invalid user <*> from <*> port <*>,sepses:LogLine_38dda80a,invalid user
f8a07539d26e0efa7b4923bca75e6b5fea35394b55fba05f695ab54348e1b3ee,Disconnected from <*> user <*> <*> port <*> [preauth],sepses:LogLine_2552eb03,
27fd2796c7e5209936c1b364e27f899102d4f6656d3c8cc3ee2acdeab93a583d,fekaputr : TTY=pts/<*> ; <*> ; USER=root ; <*> <*> <*> <*> <*>,sepses:LogLine_cc0d4f22,
d6156c5f19fdd33d94afdaa889f2d28038b94c937b2c7857e1d540d9e841e480,Connection closed by <*> user <*> <*> port <*> [preauth],sepses:LogLine_f000e4fa,connection close
a9849e6bee9aeb6cfee280dfc9468e0f8e379bd674c233bdc58475072340c832,Did not receive identification string from <*> port <*>,sepses:LogLine_cf94a865,receive identification string
caba367889006a52ad7598b6f8462c7d34542341aceb65af34e64808ede29206,pam_unix(sudo:auth): authentication failure; logname=fekaputr uid=<*> euid=<*> tty=/dev/pts/<*> ruser=fekaputr rhost= user=fekaputr,sepses:LogLine_723587a4,authentication failure
