hash,content,template,keywords
fcecce57b6d1c15846bd9eed3d8ce65fd0b539a60a257ec6db4d152241065e18,[ <*>.<*>] ACPI: Local APIC address 0xfee<*>,sepses:LogLine_33c2304b,local APIC address 0xfee
8783bf2d4d7aac8135c57adf818a9b9474bd5dfef11552dc3966581eec11081f,[ <*>.<*>] SRAT: PXM <*> -> APIC <*> -> Node <*>,sepses:LogLine_3a0052b7,
adcc80c5fdcd7bd8ca9785a5160b466b4d28034335a1250f6a40de388e5131e2,[ <*>.<*>] SRAT: Node <*> PXM <*> [mem <*>,sepses:LogLine_4280e377,
9dd30324e084868b2a8936a6b06949d89db4f0ce7703573e20582fc859941e94,[ <*>.<*>] NUMA: Node <*> [mem <*> + [mem <*> -> [mem <*>,sepses:LogLine_01621e8e,
619782a37776bceb96edeeb0a219bf341775c536a235b36ca6bca86687321997,[ <*>.<*>] <*> <*> [mem <*>,sepses:LogLine_b6667f9b,
7f0d9761f1bd4da248d266b93cbe17229bef3350aecc67bae15f890fb91c5073,[ <*>.<*>] Movable zone start for each node,sepses:LogLine_64c52242,movable zone start
52e20d80be1db1ea3b31d41314496e8723d1a3ab04eca846bd27faed7d699757,[ <*>.<*>] Early memory node ranges,sepses:LogLine_a091d2c8,memory node range
262b61e44d146655b2ec6d774bb5a2417e9269a0e513235cdeda0c19b4d2dac6,[ <*>.<*>] Initmem setup node <*> [mem 0x0000000000001000-0x000000007fffffff],sepses:LogLine_7fbedda6,Initmem setup node
a7402a5159ed6d1f4044bc5b96207bdc343e06fbfafe12894c1d87438dd224b3,[ <*>.<*>] On node <*> totalpages: <*>,sepses:LogLine_6d7e682c,
11ca43ecb00ad5e631b75d0d90be53d22ef0b268d69013ab19b088890270ff74,[ <*>.<*>] <*> zone: <*> pages used for memmap,sepses:LogLine_8f605fdb,page use
59aa6e037cace971a11fbba3df27e01d13b2a8ce96d41eba91b303e9c99503c4,[ <*>.<*>] DMA zone: <*> pages reserved,sepses:LogLine_4f135b04,DMA zone|page reserve
692553ace2852e3bfba77eb66d6d9d718307aeb377e99dcb8b51dceb38ea04ba,"[ <*>.<*>] <*> zone: <*> pages, LIFO batch:<*>",sepses:LogLine_c61c09e1,LIFO batch
2d55f6f68b17dad07f1083602452bd562c5234f1e9ab28d7e13f9f3436b7b73d,[ <*>.<*>] ACPI: PM-Timer IO Port: 0x<*>,sepses:LogLine_b78b9daf,pm-timer io Port
bb7c5b6cd3fef22eb703271c8ef9a045a8606744ad977526f45534944ad325cd,[ <*>.<*>] ACPI: LAPIC_NMI <*> high edge lint[0x1]),sepses:LogLine_51efaf41,high edge lint
888c6dc6da96e1e04a35af9a88a7c5f33f9f84815e63687a8e54c6c215e2b88c,"[ <*>.<*>] IOAPIC[<*>]: apic_id <*>, version <*>, address 0xfec00000, GSI <*>-<*>",sepses:LogLine_a7e15138,apic _ id|address 0xfec00000
072d2e7b0b664507448674da0bbdebd93b8f9e6f708676fcbfdf7e4df5340606,[ <*>.<*>] ACPI: INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high edge),sepses:LogLine_956ed7df,global _ irq|high edge
bc886832d97ad586c3f0258a0ca1ec1088666ffd18150374924c20f5ffe86175,[ <*>.<*>] ACPI: <*> used by override.,sepses:LogLine_908df579,
74a6bb223cc3c725b01199ecdec6a4839f87aba448062fbaeee29a00b9465912,[ <*>.<*>] Using ACPI (MADT) for SMP configuration information,sepses:LogLine_2d06faa7,use acpi|smp configuration information
600bdee49b0236b12be8ad6dcee0174409c2a35e72eec7857b0c2e1ba651343d,[ <*>.<*>] ACPI: HPET id: 0x8086af01 base: 0xfed<*>,sepses:LogLine_ecd5c8ee,HPET id|0x8086af01 base
979a4255c02f992110c641f3d5051641129405e8076f4fd6f1d9812c5e79ccf1,"[ <*>.<*>] smpboot: Allowing <*> CPUs, <*> hotplug CPUs",sepses:LogLine_9b8c143d,hotplug cpus
bf4b471a6cd8424a0b05d1cf48aa2f12949a69e932fa3ca2147ae2769a4001ea,[ <*>.<*>] PM: Registered nosave memory: [mem <*>,sepses:LogLine_adb3b7e0,Registered nosave memory
413f38e2b353ad517f6ac8808c79eeaa34e988996a5e4a394fb4d17bcb640873,[ <*>.<*>] e820: [mem 0x80000000-0xefffffff] available for PCI devices,sepses:LogLine_a1dfe2a5,pci device
2e158169cf0d93db33f4d186283790dba89a94e7ef2978e71d42af0368f88d07,[ <*>.<*>] Booting paravirtualized kernel on <*> <*>,sepses:LogLine_4a78850e,boot paravirtualized kernel
ef2d9aaa9c72a0a5ca34746e8e9e9ad786c9af02b95df34f704804837f8e40e2,[ <*>.<*>] clocksource: <*> mask: <*> max_cycles: <*> max_idle_ns: <*> ns,sepses:LogLine_86aa80c1,max _ cycle|idle _ n
1c912864bfeec746e09887d3cb3c8c1a68a6433a6253c6b43f4b38f726aa5d49,[ <*>.<*>] setup_percpu: NR_CPUS:<*> nr_cpumask_bits:<*> nr_cpu_ids:<*> nr_node_ids:<*>,sepses:LogLine_179bb8e8,setup _ percpu|nr _ cpumask|nr _ node _ id
e9f68273772e5b5b82fade1a9b681aad77bf26f83135ba0432a2b38f3974b563,[ <*>.<*>] PERCPU: Embedded <*> pages/cpu @ffff88007fc00000 s95448 r8192 d31528 u<*>,sepses:LogLine_1b9d80aa,s95448 r8192 d31528 u
ce2a565de7550a8b8eba55389768d1334c884e031d32d48e1f8ad46aa76fce73,[ <*>.<*>] pcpu-alloc: <*> r8192 <*> u1048576 alloc=<*>*<*>,sepses:LogLine_77eecf37,
b43dbb256464ca206bd79c48699b0aa8ea1910e88adc4b400d1e89e89008cdda,[ <*>.<*>] pcpu-alloc: [<*>] <*> <*>,sepses:LogLine_2386911f,
b1e359f339b8b7f6f3eef44842104ddecc5d735969ef47e9ee78701eda6e7c8b,"[ <*>.<*>] Built <*> zonelists in Node order, mobility grouping on. Total pages: <*>",sepses:LogLine_e201648d,Node order|mobility group|total page
20eb8712e6517e4ea7e54fa283947823e95730156ddd9bb5519587df0b73cff3,[ <*>.<*>] Policy zone: DMA<*>,sepses:LogLine_da25381a,Policy zone
293b197572e3a5cbc1a33d464515e3c81f8dcf1e8674bd9999dd864565cfa9c0,[ <*>.<*>] Kernel command line: BOOT_IMAGE=/vmlinuz-<*>.<*>.<*>-<*>-generic root=/dev/mapper/fajar--server--vg-root ro,sepses:LogLine_1d9945ee,Kernel command line
84cac3f8288907f27eea38f558666c28b806f45b03cd669ce26902499f86501f,"[ <*>.<*>] <*> hash table entries: <*> (order: <*>, <*> bytes)",sepses:LogLine_6a78c96c,hash table entry
21a232df236346c3ade16ed86f454aa4c674a39cb533ca3c0373aa1f5b32f380,[ <*>.<*>] Calgary: detecting Calgary via BIOS EBDA area,sepses:LogLine_0ab61629,detect Calgary|BIOS EBDA area
c617e4f3e46ba62752473040127517abfd7f4054d8c843d0066d65c912958751,[ <*>.<*>] Calgary: Unable to locate Rio Grande table in EBDA - bailing!,sepses:LogLine_610ef30a,locate Rio Grande table
ceaea9f7f3184be53d2363ee500e1b1cf35b03673acd479e87bfd7f1448d67f0,"[ <*>.<*>] Memory: <*> available <*> kernel code, <*> rwdata, <*> rodata, <*> init, <*> bss, <*> reserved, 0K cma-reserved)",sepses:LogLine_1f3e77cc,kernel code|0k cma-reserved
35793aa3465f6bf5e8a62bce54520ff47d0c2364405c80853d740609d9045634,"[ <*>.<*>] SLUB: HWalign=<*>, Order=<*>-<*>, MinObjects=<*>, CPUs=<*>, Nodes=<*>",sepses:LogLine_0650e733,
7661453864f06506ce3de1ded82216bf9ddf096bdb5bd32296ba0147eb2c4714,[ <*>.<*>] Kernel/User page tables isolation: enabled,sepses:LogLine_1c356206,Kernel/User page table isolation
df732ed7580aa043cc70d0f0bb474fe89ad9dff15171050bd3ccece08ca76289,[ <*>.<*>] <*> RCU <*>,sepses:LogLine_6255ba77,
063295bba61da6fb4d167e0fc8950b19363e2deaa84213461f5a067ce4dc0ec7,[ <*>.<*>] Build-time adjustment of leaf fanout to <*>.,sepses:LogLine_a0a81951,build-time adjustment|leaf fanout
bbb1d0a6098009440d2956f961b1305a5d572b4458d5890238b12007a987f665,[ <*>.<*>] RCU restricting CPUs from NR_CPUS=<*> to nr_cpu_ids=<*>.,sepses:LogLine_e070cd54,rcu restrict cpus
a604acac63024fa07e51373fc1e83b4719ef80fe4f2acba5194325a4097121ba,"[ <*>.<*>] RCU: Adjusting geometry for rcu_fanout_leaf=<*>, nr_cpu_ids=<*>",sepses:LogLine_1a1f9c67,adjust geometry
70eec449b63d6df9923364295fadd52d1356f52fd8cbbdcbb083a20bc4e4ca5c,[ <*>.<*>] NR_IRQS:<*> nr_irqs:<*> <*>,sepses:LogLine_3af28b0e,nr _ irq
ddb0e6f5568f23d441448daf1df050a0c160e8960bacd37856f421f71c52e73c,[ <*>.<*>] Console: colour VGA+ 80x<*>,sepses:LogLine_ba5a5b44,colour VGA
42193de9a8399b643a2144c5903e5597506e5f93ce2aa5573ec37fda3cf2d8bf,[ <*>.<*>] <*> <*> enabled,sepses:LogLine_611864d2,
4be307fb32ec5de09696ff3cdbf434c6532ff66a8728fb6f1ee0f826879e2e77,[ <*>.<*>] hpet clockevent registered,sepses:LogLine_d9ee28bb,hpet clockevent register
7da9fc4320084736e5fcc54af1222718f2a12fa491ce788b563cd5282d12a3a1,[ <*>.<*>] TSC freq read from hypervisor : <*>.<*> MHz,sepses:LogLine_e41e0dc1,TSC freq read
488cda6bc3081719e90a6e3919b5ab9fb60dd4da81a971261c190bc9524a6fed,[ <*>.<*>] tsc: Detected <*>.<*> MHz processor,sepses:LogLine_835ab552,mhz processor
0a51f3dbacbf9b9d6ccf47007b46d17b63cc62cc87e1c9e3e7c610ea56602111,[ <*>.<*>] Calibrating delay loop (skipped) preset value.. <*>.<*> BogoMIPS (lpj=<*>),sepses:LogLine_c7b610db,calibrate delay loop|preset value
e76faa10caafb9272ee3ffc8d18ca0e16eb65065382242ef1bcef02791f37a52,[ <*>.<*>] pid_max: default: <*> minimum: <*>,sepses:LogLine_f518058d,
cbf6be942cf27222632a944df5f21439f9ba1718300b11925d30b370c1803cbd,[ <*>.<*>] ACPI: <*> ACPI AML tables successfully acquired and loaded,sepses:LogLine_bfc45663,ACPI aml table
d7a13cdd7762c3c9ae89e659ebfaf22a650be3d24fd092381c352a67d7799d58,[ <*>.<*>] <*> <*> initialized,sepses:LogLine_39dbb8e6,
7511a0cc7b9cb62120b43537102ba9d345722b2ab394cede7d06a71ca43d69aa,[ <*>.<*>] Yama: becoming mindful.,sepses:LogLine_2824e23c,become mindful
6ab5a67acdb4ff8b12ef6edf160f6cf8ea52b35e84615f6eca86fe85fd195f94,"[ <*>.<*>] <*> <*> hash table entries: <*> <*> <*>, <*> bytes)",sepses:LogLine_e2564448,hash table entry
8a89dc54950bbf4b655f7b8e27f96a44fe74348fa96029be8064d0ce1dd46ef8,"[ <*>.<*>] ENERGY_PERF_BIAS: Set to 'normal', was 'performance'",sepses:LogLine_e473cce0,
32a7650bad7ba2c1be357050df57f742cf9f534e2945dac89c2ade560be48232,[ <*>.<*>] ENERGY_PERF_BIAS: View and update with x86_energy_perf_policy(<*>),sepses:LogLine_af6445fd,
99c9d6b9820e75cd3bc251f58ed9caca6ee8f77794190b53717afa151ff09029,[ <*>.<*>] mce: CPU supports <*> MCE banks,sepses:LogLine_5418bced,CPU support|MCE bank
b64d285656c69e9e9518a37028724730ff1b25c309e4681bf2ca4494b2398cc5,"[ <*>.<*>] Last level iTLB entries: 4KB <*>, 2MB <*>, 4MB <*>",sepses:LogLine_fd5fafaf,last level itlb entry
3b8ac30c889a1f92e3691341967419b6e69ac41bad0ae1f90cb2b4345e9151fb,"[ <*>.<*>] Last level dTLB entries: 4KB <*>, 2MB <*>, 4MB <*>, 1GB <*>",sepses:LogLine_7e4285f0,last level dtlb entry
30149a7d1c5d2a54880648f51569c053e6e82c9fb84220f2758b5093ef8be9db,[ <*>.<*>] Spectre V1 : Mitigation: usercopy/swapgs barriers and __user pointer sanitization,sepses:LogLine_0a5fefa9,Spectre V1|usercopy/swapgs barrier|__ user pointer sanitization
20036be6abcdcc3664e52a909aa5b9e6d8ed3d74847353741af053d376ae4e38,[ <*>.<*>] Spectre V2 : Mitigation: Full generic retpoline,sepses:LogLine_2b81bf58,Spectre V2|full generic retpoline
ab31c17bbc0a9658810ccb178cb9804810e29d7c0fb8ad73727e930ee39bd1c5,[ <*>.<*>] Spectre V2 : Spectre v2 / SpectreRSB mitigation: Filling RSB on context switch,sepses:LogLine_0b47a21f,Spectre V2|Spectre v2|spectrersb mitigation|fill rsb|context switch
701cbbf1b09ec43bd163857159df70c3907f105127e0ef87302737fa7982184b,[ <*>.<*>] Speculative Store Bypass: Vulnerable,sepses:LogLine_e996fac8,speculative store bypass
153b8cda6e365d11c4f0b15140e6036d1211f48bc9d55b2294cf0e95188cbd82,"[ <*>.<*>] MDS: Vulnerable: Clear CPU buffers attempted, no microcode",sepses:LogLine_645d03ba,clear CPU buffer attempt
88ea3096d14a44c9d2c3b81a426c05e8a59a60567e9448cd69094dd9690c8ea5,[ <*>.<*>] Freeing <*> <*> memory: <*>,sepses:LogLine_b69059a5,
8db53c583d60cb6a798d4003681b0ca64a4e7c8dea7f206c7af7886f4ac4e2f7,[ <*>.<*>] ftrace: allocating <*> entries in <*> pages,sepses:LogLine_bff63748,
2ccef8d83a380ab97902490d2bde6870830bd3d487afcad742c528627678e52d,[ <*>.<*>] smpboot: APIC(<*>) Converting physical <*> to logical package <*>,sepses:LogLine_3a4be9c9,convert physical|logical package
135e52129608f104f59766b58c0251210ab132bc25f5a06cee84430c97448e72,[ <*>.<*>] smpboot: Max logical packages: <*>,sepses:LogLine_bb2b44d1,Max logical package
cd340a50206af313aa066b74186c82e0cb24107491763356c2b2a011e46e3f88,[ <*>.<*>] ..TIMER: vector=0x30 apic1=<*> pin1=<*> apic2=<*> pin2=-<*>,sepses:LogLine_78ea5c8e,
baafda99a81f35e7896483665ba6c006f02961f6b20f789b6f23dbe156cd00ae,"[ <*>.<*>] smpboot: CPU0: Intel(R) Xeon(R) CPU E5-<*> <*> @ <*>.00GHz (family: 0x6, model: 0x2d, stepping: 0x7)",sepses:LogLine_1bd5346d,
27dfb9c2e74d843b2b9766835f1a111c9f2287efc0655a6332fbe3b5a674104b,"[ <*>.<*>] Performance Events: <*>-deep LBR, SandyBridge events, core PMU driver.",sepses:LogLine_fd3c01e2,Performance event|deep lbr|SandyBridge event|core pmu driver
fcd7af332f4198a946cc753dfd27c6e8ee955a305249ba43ca091c4899eafe7a,[ <*>.<*>] core: CPUID marked event: <*> <*> unavailable,sepses:LogLine_e249c6cf,CPUID mark event
d4eae70b309b33cb11f28f152379fd0d0d15199d6f0c7e771134513c47c04bd6,[ <*>.<*>] core: CPUID marked event: 'instructions' unavailable,sepses:LogLine_d469deb6,CPUID mark event
db145b66efecfa9042b81c619ba0d4f422db8a9d48edae7a2ad3c1a5fd395e70,[ <*>.<*>] ... version: <*>,sepses:LogLine_13ebd8b6,
fd438b15c653e1efa17728b409fbc377e6ac628b2282103f51a260663e5e9a14,[ <*>.<*>] ... <*> <*> <*>,sepses:LogLine_adabb75c,
2b614ccb3021f9c5f498e8cb9849952a9de9d0bab35a4bba06e2c6523f509582,[ <*>.<*>] NMI watchdog: disabled (cpu0): hardware events not enabled,sepses:LogLine_fde8afe0,NMI watchdog|hardware event
5e33d1639104b6e50367317926cd5ce5983a5f9967ca7a8625bc18e38d0c6b59,[ <*>.<*>] NMI watchdog: Shutting down hard lockup detector on all cpus,sepses:LogLine_0cbed20b,NMI watchdog|lockup detector
8484b1dcd1bfe9127b27fc8837c605ec2d802289036047d145c3e604dfeba23a,[ <*>.<*>] x86: Booting SMP configuration:,sepses:LogLine_0a1ec610,boot smp configuration
a21098bb90d65d3988232e2ae1bb97100d57c9d18a13870d5f6957e4402ff60a,"[ <*>.<*>] .... node #<*>, CPUs: #<*>",sepses:LogLine_3388cb84,
89f45dcbbc59b8e36a5f15485c3b09fb823c02123138ae445a1ac7f49d2dcdd4,[ <*>.<*>] Skipped synchronization checks as TSC is reliable.,sepses:LogLine_767a86b4,skip synchronization check|TSC be reliable
ac91cdabeb3c439cd39a3bb834a2c2fa83a99f9e9102c7122fb46278888b259e,"[ <*>.<*>] <*> <*> up <*> node, <*> CPUs",sepses:LogLine_d691e0ee,
64e05b5be63f99bd49232df0b792982d3786e9f7f706f6ff9dd72b9bc0251ead,[ <*>.<*>] smpboot: Total of <*> processors activated (<*>.<*> BogoMIPS),sepses:LogLine_674ff42a,processor activate
0166975b279801be0e938f51cbff6477b7a191bb8ed8183620cd8e3dce0d60be,[ <*>.<*>] PM: Registering ACPI NVS region [mem 0x7feff000-0x7fefffff] (<*> bytes),sepses:LogLine_0d9b56a5,register ACPI NVS region|mem 0x7feff000-0x7fefffff
